,accroiss_pop,kcal_p_an_ani,stab_politic,imp_volaile_tonne,nbre_habitant,proport_prot_ani,pib_habitant
Cluster 1,0.7200893688557232,-0.7924042761921809,-0.1453459437577713,-0.5732705348714371,-0.2765367444918653,-0.7965375697357904,-0.5584012801343807
Cluster 2,-0.3217240654299728,1.6387730315429923,-0.3712503400388859,1.1195823387119437,-0.053158649414594,1.5570655525330035,2.44326755767705
Cluster 3,-0.6142209766491806,0.7832105811311177,1.0165523758081247,0.3407131556938767,3.7550218829304978,0.76167356359414,0.7800114256615099
Cluster 4,-0.07703760144912734,-0.12135758986999351,3.730795270348248,-0.9443006766387119,-0.16012717802804488,-0.06690585186512182,-0.058714078594195626
Cluster 5,-0.8548829922092882,0.5855939576382886,-0.3792974119958937,0.6017494950958416,-0.16866159432712344,0.6107497906085221,0.0034704797359998893
