,taux_daccroissement,dispo_alim_kcal_p_an_ani,habitant_2018,proport_prot_ani
Cluster 1,1.3458083866137374,-1.050410143234763,-0.13529840268796361,-1.0318703917728105
Cluster 2,-0.8248215222533244,0.4225579736055511,-0.1193001623891775,0.43472877937198756
Cluster 3,-0.4832901922914918,-0.18307297597016314,8.349814617354635,-0.46239475103026884
Cluster 4,0.11540931800596906,-0.5434777387415871,-0.0661860045388308,-0.5422982595734673
Cluster 5,-0.6956027315271486,1.47788852985216,-0.12106560116534361,1.4564948948681384
