Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","13","Bahreïn","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","13338.14","X","Sources internationales sûres",""
"MK","Indicateurs macro","13","Bahreïn","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","14157.35","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","19758154","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","22504793","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","9956.3","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","10173.4","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","105748.207","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","122319.739","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","444991.1","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","460419.4","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","3673.186932","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","3742.406328","X","Sources internationales sûres",""
"MK","Indicateurs macro","53","Bénin","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","7375302.197906","X","Sources internationales sûres",""
